id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q332919,Norman Fowler,1997-06-11,1998-06-01,,Q333058,,
Q333058,Gillian Shephard,1998-06-01,1999-06-14,Q332919,Q333846,,
Q333846,John Redwood,1999-06-14,2000-02-02,Q333058,Q2860158,,
Q2860158,Archie Norman (businessman),2000-02-02,2001-09-18,Q333846,Q264766,,
Q264766,Theresa May,2001-09-18,2002-06-06,Q2860158,Q333493,,
Q333493,Eric Pickles,2002-06-06,2002-07-23,Q264766,Q300023,,
Q300023,David Davis (British politician),2002-07-23,2003-11-11,Q333493,Q338176,,
Q338176,David Curry,2003-11-11,2004-03-15,Q300023,Q332954,,
Q332954,Caroline Spelman,2004-03-15,2005-05-06,Q338176,Q333493,,
Q333493,Eric Pickles,2003-11-11,2005-05-06,Q332954,Q332954,,
Q332954,Caroline Spelman,2005-05-06,2005-12-05,Q333493,Q332954,,
Q332954,Caroline Spelman,2005-12-05,2006-05-06,Q332954,Q332954,,
Q332954,Caroline Spelman,2006-05-06,2007-07-02,Q332954,Q333493,,
Q333493,Eric Pickles,2007-07-02,2009-01-19,Q332954,Q332954,,
Q332954,Caroline Spelman,2009-01-19,2010-05-11,Q333493,Q300069,,
Q300069,John Denham (politician),2010-05-11,2010-10-08,Q332954,Q251095,,
Q251095,Caroline Flint,2010-10-08,2011-10-07,Q300069,Q262742,,
Q262742,Hilary Benn,2011-10-07,2015-05-11,Q251095,Q501942,,
Q501942,Emma Reynolds,2015-05-11,2015-09-14,Q262742,Q272234,,
Q272234,Jon Trickett,2015-09-14,2016-06-27,Q501942,Q580215,,
Q580215,Grahame Morris,2016-06-27,2016-10-07,Q272234,Q575669,,
Q575669,Teresa Pearce,2016-10-07,2017-04-02,Q580215,Q263923,,
Q263923,Roberta Blackman-Woods,2017-04-02,2017-06-14,Q575669,Q392216,,
Q392216,Andrew Gwynne,2017-06-14,2020-04-06,Q263923,Q7613711,,
Q7613711,Steve Reed (politician),2020-04-06,,Q392216,,,
